SeaWEED ID,Source,Species common name,Species scientific name,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Experimental,Polyculture_IAA,Yield_t_per_Ha,Yield_kg_per_m3,Grow_out_period_days,m2a_t,m3a_t,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes
147,Aubin-2018-a,Blue mussel,Mytilus edulis,,"1 tonne packed ""ready to cook"" mussels",Bouchot culture,Commercial,Mussels produced in bouchot culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Medeiros-2017-a,Weakfishes nei,Cynoscion spp,,1 kg animal biomass liveweight,Semi-intensive pond,,Black pacu harvested from monoculture semi-intensive ponds,Brazil,Sao Paulo,2013-2014,3 farms,,Semi-intensive,,,5,,,,,,,,,,,,,,,,,,,,,
149,Avadi-2015-b,Weakfishes nei,Cynoscion spp,,1 tonne live weight,Semi-intensive pond,Commercial,Black pacu produced in semi-intensive ponds,,,,,,Semi-intensive,,,,,,,,,,,,,,,,,,,,,,,,
150,Badiola-2017-a,Atlantic cod,Gadus morhua,,1 kg live weight,Recirculating system,Experimental,Cod produced in a pilot-scale recirculating aquaculture system,,,,,,Intensive,Y,,,,,,,,,,,,,,,,,,,,,,,
151,Aubin-2015-a,Milkfish,Chanos chanos,,1 tonne fresh,Extensive pond polyculture,,Milkfish harvested in brackish water extensive pond polyculture system (with crab,,,,,,Extensive,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
153,Mungkung-2013-a,Nile tilapia,Oreochromis niloticus,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,Tilapia produced in two-net aquaculture system (along with common carp) in large,,,,,,,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
154,Mungkung-2013-a,Nile tilapia,Oreochromis niloticus,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,Tilapia produced in two-net aquaculture system (along with common carp) in small,,,,,,,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
155,Aubin-2015-a,Nile tilapia,Oreochromis niloticus,,1 tonne fresh,Extensive pond polyculture,,Tilapia harvested in brackish water extensive pond polyculture system (with crab,,,,,,Extensive,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
157,Yacout-2016-a,Nile tilapia,Oreochromis niloticus,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond system.,Egypt,Behera governorate,2010-2011,2 farms,,Extensive,,,,32,,,,,,,,,,,,,,,,,,,,
158,Yacout-2016-a,Nile tilapia,Oreochromis niloticus,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,Semi-intensive,,,,0,,,,,,,,,,,,,,,,,,,,
159,Mungkung-2013-a,Common carp,Cyprinus carpio,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,Carp produced in two-net aquaculture system (along with tilapia) in large,,,,,,,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
